Stock,Date,Party,Category,Txntype,Quantity,Value traded,Avgtradeprice
Wipro Ltd,4/26/2017,Sreeprakash Narayanan,Insider - Employee,Buy,1,6.86 L,"686,413.90"
ITC Ltd,5/17/2016,Arun Kumar Srivastava,Insider - Employee,Sell,2,16.50 L,"825,237.50"
MPS Infotecnics Ltd,2/21/2022,ALPHA LEON ENTERPRISES LLP,Bulk,Sell,1,1,1.35
MPS Infotecnics Ltd,8/23/2021,TOPGAIN FINANCE PRIVATE LIMITED,Bulk,Buy,1,0,0.25
Tata Consultancy Services Ltd,11/10/2020,Sonali Malik,Insider - Immediate Relative,Buy,1,"2,654","2,654.00"
Tata Consultancy Services Ltd,11/10/2020,Sonali Malik,Insider - Immediate Relative,Buy,1,"2,655","2,655.00"
Uttam Value Steels Ltd,10/30/2020,TOPGAIN FINANCE PRIVATE LIMITED,Bulk,Sell,2,0,0.25
JSW Steel Ltd,8/1/2022,JSW Steel Employees Welfare Trust û ESOP OPJ Samruddhi Plan 2021 A/c,Insider - Other,Sell,1,638,638.00
Reliance Industries Ltd,2/12/2016,Ajit Jayantilal Vyas,Insider - Other,Sell,2,"1,793",896.50
ITC Ltd,3/29/2017,Prabal Kumar Mahapatra,Insider - Employee,Sell,6,17.00 L,"283,300.00"
Tata Consultancy Services Ltd,11/10/2020,Sonali Malik,Insider - Immediate Relative,Buy,2,"5,310","2,655.00"
Indus Towers Ltd,12/10/2017,Ravinder Hooda,Insider - Employee,Buy,1,376,376.00
Housing Development Finance Corporation Ltd,9/23/2021,SANCHIT GARG,Insider - Designated Person,Sell,1,"2,751","2,751.00"
ITC Ltd,2/2/2016,Malay Kumar Saha,Insider - Employee,Buy,7,9.98 L,"142,542.86"
Housing Development Finance Corporation Ltd,12/31/2018,ARPIT TANDON,Insider - Employee,Sell,1,"1,969","1,969.00"
Housing Development Finance Corporation Ltd,6/26/2018,NEHA TRIPATHI,Insider - Employee,Sell,1,"1,915","1,915.00"
Housing Development Finance Corporation Ltd,5/9/2018,YASHITA PATIL,Insider - Immediate Relative,Buy,1,"1,890","1,890.00"
Wipro Ltd,8/24/2017,Vikas Srivastava,Insider - Employee,Buy,4,"1,535",383.76
Housing Development Finance Corporation Ltd,12/6/2017,Hari Shankar Prasad,Insider - Employee,Sell,1,"1,649","1,649.00"
Housing Development Finance Corporation Ltd,5/22/2017,Pradeep Kumar S,Insider - Employee,Sell,1,"1,520","1,520.00"
Housing Development Finance Corporation Ltd,5/4/2016,Sony George,Insider - Immediate Relative,Buy,1,"1,162","1,162.00"
JSW Steel Ltd,12/8/2022,JSW Steel Employees Welfare Trust û OPJ Samruddhi Plan 2021 A/c PAN: AABTJ3861D Regd. Add.: Dr. G. Deshmukh Marg 5/A Mumbai - 400026 Contact No.: 022-42861001,Insider - Other,Sell,2,"1,490",745.00
JSW Steel Ltd,6/17/2022,JSW Steel Employees Welfare Trust û JSWSL OPJ Samruddhi Plan 2021 A/c,Insider - Other,Sell,2,"1,113",556.50
JSW Steel Ltd,6/8/2022,JSW Steel Employees Welfare Trust û JSWSL OPJ Samruddhi Plan 2021 A/c,Insider - Other,Sell,2,"1,157",578.50
Larsen & Toubro Ltd,3/17/2023,CYRUS J DADACHANJI,Insider - Designated Person,Sell,1,"2,195","2,195.00"
Larsen & Toubro Ltd,12/1/2022,SRAVANKUMAR Y V S,Insider - Designated Person,Sell,1,"2,106","2,106.00"
Larsen & Toubro Ltd,8/2/2019,SANTHOSH KP,Insider - Designated Person,Sell,1,"1,370","1,370.00"
Larsen & Toubro Ltd,5/3/2017,Surendra Babu P R,Insider - Employee,Sell,1,"1,711","1,711.00"
Mahindra and Mahindra Ltd,11/18/2022,GIJU KURIAN,Insider - Designated Person,Sell,1,"1,229","1,229.00"
Mahindra and Mahindra Ltd,1/19/2022,Vijay Ramswaroop Nakra,Insider - Designated Person,Sell,1,889,889.00
Godrej Consumer Products Ltd,3/28/2019,NG Children Trust,Insider - Promoter Group,Buy,1,693,693.00
Godrej Consumer Products Ltd,3/29/2019,PG Children Trust,Insider - Promoter Group,Buy,1,685,685.00
Godrej Consumer Products Ltd,3/28/2019,NBG Family Trust,Insider - Promoter Group,Buy,1,693,693.00
